업체명,위도,경도,폐업여부
빙고모텔,35.21528673,129.1056637,N
목화모텔,35.25771326,129.0906073,N
동평장여관,35.22502779,129.0817899,N
새온천모텔찜질방,35.2240551,129.0815247,N
송원장,35.22376332,129.0814923,N
우보,35.22359422,129.0814342,N
금성여인숙,35.2250455,129.0819666,Y
쉴라게스트하우스,35.23660168,129.0836898,Y
BUSANSPAGUESTHOUSE,35.23490211,129.0833713,Y
단디하우스부산대,35.23491329,129.087658,Y
부산사랑게스트하우스,35.23098012,129.0862534,Y
태양,35.22286211,129.0846472,Y
웁스모텔,35.2242952,129.0851221,N
아젤리아,35.22372824,129.0844432,Y
올레모텔,35.22357183,129.0842698,N
로망스모텔,35.22272369,129.0861081,N
맥스모텔,35.22261418,129.0848461,N
모텔델루나,35.22440026,129.082447,N
HOTELYOUAIN,35.22321721,129.0843749,N
대도여관,35.22343918,129.0842094,N
아라모텔,35.22245892,129.0848261,N
아레스모텔,35.22338369,129.0844811,Y
만리장여관,35.22384332,129.0830621,N
에어비앤비니하오부산,35.2342498,129.0887575,Y
태광 달방,35.22217112,129.0863136,N
팔레스모텔,35.27706461,129.088686,Y
청룡여관,35.27537144,129.0891245,N
유성장모텔,35.27569492,129.0890979,N
범어장,35.27393681,129.0918485,N
범어장모텔,35.27393827,129.0918193,N
에스모텔,35.2775317,129.0891817,N
니즈호텔,35.2744981,129.0899731,N
그루브펜션,35.18619159,129.2080752,Y
모닝블루펜션,35.18480567,129.2125121,N
바다애펜션,35.18604169,129.2133248,N
오시리아펜션,35.18812494,129.2177743,N
시나몬하우스앤카페,35.18452008,129.2113171,Y
가온펜션,35.1844777,129.2127078,N
타샤모텔,35.23486816,129.2152805,N
골든베이펜션,35.22131533,129.2270667,N
고마펜션,35.23499608,129.2432792,N
본레브연화리330풀빌라앤호텔,35.21559526,129.2229761,N
MVG모텔,35.21392038,129.2220218,N
전망좋은집,35.22515777,129.2288831,Y
연화리관광호텔,35.21559526,129.2229761,N
호텔오즈,35.22075941,129.2271744,N
타이드어웨이풀빌라,35.18217092,129.2085278,N
연화리330 POOL VILLA Bon reve,35.21558798,129.2229938,N
로드엠게스트하우스펜션,35.22374937,129.2310754,N
연화펜션,35.21366559,129.2218632,N
지앤지모텔,35.21419613,129.222202,N
MVG무인텔,35.2139435,129.2220125,N
아난티 힐튼 부산,35.19795241,129.2280692,N
꿈의궁전모텔,35.22228138,129.2270277,N
오즈모텔,35.2207852,129.2271806,N
별이그린바다펜션,35.18223994,129.2110845,N
아난티코브,35.19973708,129.22865,N
필모텔,35.21377212,129.2219608,Y
숲속농원,35.21903124,129.1828651,N
기장숲속농원캠프,35.21882078,129.1829515,N
사랑애펜션,35.23775114,129.2416983,N
휴인펜션,35.18455021,129.2102251,N
더하루펜션,35.18525193,129.2104981,N
마루하우스펜션,35.18618548,129.2108578,N
아라하우스펜션,35.18397327,129.2095241,N
더베이펜션,35.18436889,129.2101493,N
솔레이펜션,35.18372558,129.2096279,N
브라이트펜션,35.1846836,129.2102984,N
부산라메르펜션,35.18491747,129.2103747,N
백용펜션,35.18474468,129.2099886,N
더펜션502,35.18814181,129.2113813,N
해오름펜션,35.18782476,129.2112324,N
J&J하우스,35.18796486,129.2113093,N
바우하우스펜션,35.18480392,129.2098608,N
송정로뎀나무펜션,35.18485999,129.2095295,N
메종펜션,35.18394728,129.209296,N
그루브펜션,35.18611091,129.208151,N
GB코티지,35.1855167,129.2093375,N
오시리아인펜션,35.18516607,129.2093698,N
엘티움,35.18598512,129.2095581,N
송정 메이플하우스,35.18544856,129.2095472,N
송정드림펜션,35.18494196,129.2092725,N
팰리스모텔,35.23391641,129.2188739,N
더원모텔,35.22715554,129.2270725,N
하얀둥지펜션,35.2274257,129.2268482,N
더캐슬해운대비치,35.22680247,129.2213595,N
해운대비치골프앤리조트,35.22750673,129.22575,Y
올리브모텔,35.23409002,129.2185079,Y
비너스모텔,35.23313818,129.2191334,Y
부산 기장 휴,35.23479568,129.215477,N
시랑리129펜션,35.19664328,129.2249174,N
돌담집그곳,35.19594168,129.2231,N
드림하우스펜션,35.24026608,129.2478811,N
죽성여관,35.24069847,129.2471192,N
TOC모텔,35.25135363,129.2082617,N
모텔헤이데이,35.24929092,129.2097105,N
베스트루이스해밀턴호텔 기장점,35.24951122,129.2096433,N
2001HAMILTONHOTEL,35.24947386,129.2095375,Y
모텔헤이데이,35.24928498,129.2097099,N
베스트루이스해밀턴호텔,35.24946788,129.2095269,N
서랑펜션,35.20102999,129.2059,N
펜션드리머,35.21697178,129.2253055,N
필모텔,35.21613866,129.2249753,Y
엔줄리오펜션,35.2153393,129.2231287,N
기장브라운도트펜션,35.21792679,129.2254973,N
IW모텔,35.22049782,129.2273042,N
브라운도트호텔,35.21789346,129.22571,N
넘버이십오,35.21918249,129.2264024,N
엔쥴리오,35.21530937,129.2231286,N
초콜릿,35.21637501,129.2251359,N
초콜릿모텔,35.21643343,129.2251298,N
기장호텔,35.24148239,129.2144519,Y
테마,35.24201229,129.2151228,N
루이스호텔,35.24167138,129.2157481,N
기장루이스호텔,35.24173549,129.215798,N
드림모텔,35.2530168,129.2143901,N
호텔리안,35.25038237,129.2137116,Y
부띠끄호텔 오월로,35.25010344,129.2136728,N
브룩스호텔,35.25067491,129.2135032,N
부띠끄호텔 오월로,35.25010921,129.2136787,N
이데아호텔,35.25362273,129.2143276,N
2PM호텔,35.25074703,129.2137006,N
큐모텔,35.25059418,129.2141236,N
HOTEL페오,35.25316662,129.2139845,N
짱모텔,35.25112852,129.2137112,N
넘버25호텔,35.25229656,129.2142802,N
힐모텔,35.25295621,129.2145426,N
이지고글램핑,35.27931701,129.2020381,N
지오클럽캠핑장,35.25771827,129.2357055,N
일광민박딴따라,35.26290854,129.2335084,Y
민캠프힐링오토캠핑장,35.28975511,129.2344849,N
사랑채캠프,35.25906518,129.2339539,Y
일광추억이머무르는곳,35.26257492,129.232687,N
테라스,35.26081708,129.2331247,N
일출민박,35.25957291,129.2332452,N
속시원한대구탕,35.26057537,129.2332445,N
채움펜션,35.30331368,129.2584342,N
일광온정바다,35.28284033,129.2583936,N
메모리펜션,35.28278644,129.2592046,N
바다펜션,35.28278066,129.258697,Y
비치하임펜션,35.30734392,129.2589104,N
몽블랑모텔,35.26447598,129.2336108,N
캐슬모텔,35.26491276,129.2337386,N
쉼표모텔,35.26474117,129.2346141,N
해변24편의점,35.2640334,129.2344786,N
해나무민박,35.2626697,129.2332637,N
늘봄모텔,35.26582452,129.233977,N
즐거운민박,35.26383724,129.2343323,Y
삼성장펜션,35.26328944,129.2335718,N
제이스펜션&글램핑,35.27724586,129.2343007,N
일광하우스,35.26493239,129.2385515,N
바베네캠핑장,35.27293273,129.2535064,Y
일광펜션,35.31267275,129.2612869,N
까페카라반,35.30914968,129.2592798,N
기장메이트펜션,35.31081929,129.2600777,Y
모아펜션,35.31252254,129.2612205,N
리버사이드펜션,35.29293062,129.2596678,N
일광메모리펜션,35.28283169,129.2590806,N
사계절펜션,35.31166766,129.2604364,Y
드메르펜션,35.2923648,129.2598971,N
바다하우스,35.29346477,129.2598241,Y
별장민박,35.3122733,129.2612304,N
큐모텔,35.2641028,129.2333035,Y
알로하펜션,35.29389668,129.2601787,N
발리모텔,35.26206704,129.2315489,N
아셀펜션,35.26179764,129.2327962,N
어베인,35.26122324,129.2330551,Y
1872팡시온펜션,35.25775916,129.2435827,N
부산해운대1872팡시온,35.25773869,129.2435454,N
메르쏭하우스,35.25807928,129.2432716,N
하루펜션,35.25859718,129.2433438,N
고운학리펜션,35.25835087,129.2431815,N
라고마르펜션,35.25891439,129.2434036,N
하운드호텔,35.26552711,129.2305381,Y
농촌체험민박집,35.2964199,129.2025782,Y
일광횡계민박,35.27170254,129.222095,N
엔젤앤가든,35.32483556,129.270191,N
길천여인숙,35.32687594,129.283682,N
산수유,35.36885054,129.2459056,N
늘봄펜션,35.34719821,129.2413723,N
만석꾼캠핑장,35.33110731,129.2711622,N
월내태양민박,35.32614394,129.2772528,N
달빛펜션,35.31859452,129.2632604,N
아름민박집,35.3182258,129.2631794,N
해변민박,35.31776609,129.2629941,N
임랑별장민박,35.31711904,129.2625183,N
성남편의점민박,35.32063136,129.2659866,Y
선민박,35.31824836,129.2637955,N
한바다민박,35.31789191,129.263312,N
임랑펜션형브이민박,35.32042177,129.2658064,N
더뷰펜션,35.31670959,129.2625779,Y
양지민박,35.31898708,129.2638711,Y
임랑태양민박,35.3175556,129.263172,N
동부산온천호텔,35.34336416,129.2531894,N
산장가든,35.36840787,129.246617,N
장안사민박형펜션,35.34845494,129.2536186,N
한옥펜션금수동,35.34466882,129.2532313,N
금관글램핑,35.34359963,129.253861,Y
장원민박,35.34819263,129.2537714,Y
수드,35.36582222,129.2490417,Y
금관가든,35.34358314,129.253817,Y
장안캠프,35.3421815,129.2523192,Y
동부산온천호텔,35.34333574,129.2531717,N
루나펜션,35.3635823,129.250344,N
엔젤앤가든,35.32503924,129.2708113,N
해파랑민박,35.32096957,129.2668787,N
보리수펜션,35.32512177,129.2710794,N
더무빙카라반캠핑,35.32266612,129.2700949,N
텐트오브미팅,35.32402981,129.2736679,Y
오투펜션,35.32187198,129.2679362,N
얀카라반펜션,35.32156866,129.2672237,N
기장문화예절학교,35.32554346,129.2682629,N
호수아펜션민박,35.32136008,129.2667894,Y
휴펜션,35.37055583,129.2444009,N
다란향 한옥,35.31514631,129.1715894,N
호텔다온,35.3212147,129.1799899,N
큐브모텔,35.3212428,129.179862,N
파크모텔,35.32181376,129.1803163,N
기장군청소년수련관,35.31111144,129.1997541,N
병산골목장캠핑,35.34530836,129.1877889,N
초원숲속글램핑,35.34537339,129.1877351,N
초원숲속야영장,35.34507392,129.1877069,N
호수글램핑,35.34646376,129.1851427,N
k2모텔,35.31610069,129.1821329,N
브라운도트호텔,35.31611203,129.1817517,N
호텔라움,35.3160994,129.1809748,N
호텔썸,35.31610989,129.181374,N
더원호텔,35.31639229,129.1842866,N
호텔여기어때,35.31622426,129.1827183,N
부산꿈틀어린이텃밭학교,35.27780524,129.146678,Y
낙원농원,35.33627132,129.1268525,N
실베네집,35.23616044,129.1765641,N
진주당혜,35.2916654,129.1669688,Y
부산유아놀이꿈터,35.27265561,129.1577857,N
영남장여관,35.11849224,129.0793084,N
신라장여관,35.11644331,129.0813704,Y
새여관,35.1178686,129.0798068,Y
리베모텔,35.13574794,129.092109,N
우성빌,35.1356371,129.0925842,Y
남일여인숙,35.13560894,129.0921476,Y
브이모텔,35.13528827,129.0862611,N
호텔스미스,35.13521422,129.0849343,N
보스코호텔,35.13535219,129.0873566,N
스테이 로드12,35.13554001,129.0874999,N
빈센트게스트하우스,35.12837791,129.0919259,N
엠파크모텔,35.13538306,129.087835,Y
어린왕자,35.14112853,129.1005194,Y
풍조장여관,35.13487097,129.0839417,N
호텔브라운도트 대연점,35.13453381,129.0892951,N
호텔뮤리,35.13547057,129.0908831,N
낙원모텔,35.13553131,129.0907202,N
황금모텔,35.13461686,129.0904076,N
뮤트호텔,35.13464742,129.0907994,N
그린하우스,35.13490958,129.094663,Y
장미하우스,35.13500836,129.0945078,Y
히딩크원룸,35.13771426,129.1057581,Y
MAYHOUSE,35.13417062,129.0987066,Y
초이스게스트하우스,35.13374326,129.0999151,N
부산해피하우스,35.13751598,129.1024834,Y
더훈애견호텔,35.1377159,129.1021402,Y
용궁모텔,35.12998202,129.0913517,N
코리아호텔,35.13275907,129.0923112,N
이데아호텔,35.13191378,129.0924305,N
킴스하우스,35.13387259,129.0928229,Y
KIMSHOUSEBUSAN2ND,35.13385763,129.0926373,Y
호텔더그랑,35.13477312,129.0937138,N
꿈모텔,35.13476252,129.0938887,N
UV모텔,35.13467223,129.0914777,Y
아젤리아모텔,35.13450026,129.0888764,Y
유니콘모텔,35.1346684,129.0916322,N
대연동 한스빌,35.13465118,129.0911649,N
지앤지호텔,35.13460158,129.0900052,N
제트호텔,35.13463791,129.0909951,N
K모텔,35.13464223,129.0913184,N
루이모텔,35.13445751,129.0878116,N
웰킨호텔,35.1345972,129.0901742,N
호텔온나,35.13441344,129.0915211,N
DYDCOZYHOUSE,35.13965034,129.0838484,Y
MAMANDAUGHTERHOUSE,35.1326236,129.0887641,Y
부산게스트닷컴,35.14082653,129.0690799,Y
T호텔,35.13756926,129.066685,N
범일여인숙,35.14175932,129.0649752,Y
부산국제금융연수원,35.14649532,129.0658659,N
블루모텔,35.13781958,129.0696365,Y
낙원모텔,35.13760206,129.0702526,N
산해모텔,35.13744963,129.0697071,N
부산 문현동 그랜드,35.1375142,129.0699773,N
블루모텔,35.13772539,129.0694948,N
클라우드나인,35.13768783,129.0700003,N
정성호텔,35.13764753,129.0694224,Y
브이모텔,35.13773947,129.0671398,N
보브호텔,35.13756941,129.0669388,N
노던베이게스트하우스,35.13017206,129.0679146,Y
태양모텔,35.14626724,129.0671184,Y
선샤인하우스,35.14626724,129.0671184,Y
아바니센트럴부산,35.14837957,129.065239,N
엔터모텔,35.13748767,129.0671589,N
데레사의집,35.13939698,129.0693276,Y
문현모텔,35.13547909,129.0685579,Y
대화장여관,35.11316092,129.0942048,N
오륙도여관,35.11429012,129.0949907,N
용당별장여관,35.11329644,129.0943135,N
한국해양수산연수원,35.11251462,129.1022739,Y
용호서울모텔,35.12065547,129.1125603,N
부산해군회관,35.10486567,129.1162479,N
호텔시카고,35.11867923,129.1111579,N
SEALIZARD,35.11753837,129.1152394,Y
네잎클로버,35.13131356,129.1133891,Y
오륙도게스트하우스,35.10399841,129.1182619,Y
성운장여관,35.11428231,129.1107893,N
노블레스모텔,35.11830681,129.1111214,N
베니스모텔,35.11871312,129.1114093,N
가든장모텔,35.11370616,129.1108046,N
넘버25호텔,35.11852927,129.1112952,N
여우하우스,35.12037086,129.1117922,Y
서울모텔,35.12060939,129.112561,N
젠하우스,35.11515197,129.1113346,N
이기대외국인숙소,35.1189426,129.1122489,Y
다해게스트하우스,35.1227472,129.1119905,Y
게스트하우스,35.12631011,129.1082483,N
우암여관,35.12582043,129.0708113,N
ENJOYBUSAN,35.13907149,129.0484465,Y
힐티장,35.14065981,129.0556499,N
엔젤여관,35.141401,129.0556237,Y
금옥여인숙,35.14115043,129.0557862,Y
영광숙박,35.14076529,129.0556089,N
신유아트빌모텔,35.13927072,129.0589658,Y
안드레연수원,35.13091171,129.0593022,N
황토방모텔,35.13872003,129.0609962,N
수채화모텔,35.13872579,129.0616192,N
송림장여관,35.13843734,129.0607675,Y
틴토호텔,35.13830679,129.0607742,N
허브모텔,35.13877091,129.0589071,N
프린스호텔,35.13929949,129.0588743,N
오지게스트하우스,35.13904227,129.0585653,Y
현대,35.13929496,129.0585261,Y
삼오여관,35.13830388,129.0584156,Y
정원장,35.13814517,129.0586212,Y
클라우디아,35.13909484,129.0585299,N
천지장여관,35.13949438,129.058345,N
낙원여인숙,35.13731506,129.0597627,N
CC호텔,35.13749011,129.0606487,N
U모텔,35.13766137,129.0610439,N
산수모텔,35.13777822,129.0604073,N
U모텔,35.13765203,129.0610411,N
산수모텔,35.13777816,129.0604072,N
화신장여관,35.13653407,129.0620319,N
대성그린빌,35.13664622,129.0619482,Y
동일장,35.13668509,129.0616747,Y
일루리삿,35.13569086,129.0631591,N
자성마이홈,35.13665954,129.0621745,Y
명성황토빌,35.1368384,129.0618118,N
잭팟,35.13685731,129.0625763,Y
명성황토빌,35.1368384,129.0618118,Y
황규성,35.13575779,129.0639812,N
모텔369,35.13486904,129.0621177,N
코리아시티관광호텔,35.1380428,129.0635292,N
미진모텔,35.13975763,129.0610287,N
청운모텔,35.13951918,129.0610059,N
미진모텔,35.13975049,129.0610228,N
지앤지모텔,35.13927687,129.0632679,N
호텔라메르,35.14050523,129.0623238,N
범일동 W,35.14006786,129.0617786,N
하운드호텔,35.14018498,129.061939,N
라메르관광호텔,35.14048123,129.0622834,N
센스빌모텔,35.14077157,129.0621698,Y
라온호텔,35.14032664,129.061896,N
와이,35.1406394,129.0617704,Y
루이스호텔,35.14039166,129.0620139,N
금호펠리스,35.14019441,129.0616829,Y
나포리모텔,35.13843013,129.0602848,N
리젠시모텔,35.13870614,129.0607582,N
나포리,35.13842423,129.0602808,N
스토리하우스,35.13844313,129.0604789,N
K7모텔,35.13855096,129.0605,N
허브모텔,35.13842203,129.0606193,N
해동모텔,35.14012607,129.0602694,N
리젠시모텔,35.13871811,129.0607673,N
리치모텔,35.1385407,129.0607998,N
삼성장여관,35.13613372,129.0556784,N
더디자인,35.14076661,129.056945,N
영모텔,35.13648271,129.0557433,N
대동여인숙,35.1402081,129.0560995,Y
더디자인,35.14058208,129.0569841,N
브라운도트 호텔 범일점,35.14027189,129.056931,N
브라운도트호텔,35.14027189,129.056931,N
프린스모텔,35.1174461,129.0404349,N
송림장,35.13843727,129.0607677,N
힐모텔,35.12793217,129.0459675,N
힐모텔,35.12795883,129.0459622,N
꿈모텔,35.12952793,129.0475848,N
수정여관,35.12564541,129.0442417,Y
초량리빙텔,35.12250494,129.0421433,N
보건탕,35.12542534,129.0430162,N
보영여관,35.12717796,129.0459749,Y
경남여인숙,35.12754479,129.0457944,N
동구진로교육지원센터,35.12757021,129.0480407,N
월성여인숙,35.13032769,129.0496354,N
프라임관광호텔,35.13058708,129.0502138,N
동명여인숙,35.1302343,129.0495424,N
브라운도트 호텔 부산진역점,35.12952113,129.048421,N
영빈관모텔,35.12952093,129.0479497,N
청명여인숙,35.12961756,129.0480293,N
수정장여관,35.12531392,129.0435385,N
동원장여관,35.12564929,129.0436893,N
수정장여관,35.12531391,129.0435385,N
본모텔,35.13210928,129.0514041,N
경북여인숙,35.13397037,129.0546199,Y
부산항힐링야영장,35.11408836,129.0503409,N
베스트인시티호텔,35.12030724,129.0414928,N
나우빌,35.12012003,129.040283,N
노떼라미아호텔,35.11184173,129.0397668,N
씨앤씨모텔,35.11310246,129.0370603,N
민트파라다이스,35.11304351,129.0373579,Y
INN부산,35.1141472,129.0376759,N
씨엔씨여관,35.11309666,129.0370628,N
멕시멈호텔,35.11592723,129.0393263,N
마리나레지던스호텔,35.11553521,129.0388643,N
구봉여인숙,35.11515237,129.0390855,N
본역여인숙,35.11433791,129.0384915,N
물레,35.11267844,129.0375148,N
게스트하우스큐브,35.11462842,129.0385976,Y
복성여관,35.11457684,129.0383635,N
남양장,35.1153894,129.0387808,N
장춘모텔,35.11340772,129.0380368,N
알프스모텔,35.1152711,129.0390936,N
크리스탈낮잠,35.11634374,129.0398186,N
대림장,35.11574613,129.0389543,N
거창여인숙,35.11294614,129.0377908,N
더월드,35.1125883,129.0377192,N
황금빌라,35.11299684,129.0378672,N
프리차,35.11615687,129.0341787,Y
이바구캠프,35.11918333,129.0283125,N
이바구캠프,35.11915903,129.0285237,N
게스트하우스트라팔가,35.12314393,129.0350982,Y
까꼬막체험센터,35.12298066,129.035773,N
이바구충전소,35.11736277,129.0346707,N
오름,35.11690236,129.0351089,N
세느모텔,35.11271338,129.0375962,N
동원여관,35.11292116,129.0365685,N
게스트하우스코리아 부산역점,35.11751607,129.0414816,N
새여관,35.11918692,129.041455,N
테마모텔,35.11913921,129.041251,N
웰컴부산,35.11934293,129.0414953,N
미라벨모텔,35.11366132,129.0384222,N
마리나레지던스,35.11371712,129.0369946,N
이데아호텔,35.11215514,129.0401919,N
모나코모텔,35.1126008,129.040072,N
부산역비즈니스호텔,35.11239691,129.0399828,N
팝콘호텔,35.11269459,129.0395025,N
오름 레지던스 호텔,35.1124026,129.0402156,N
