Unnamed: 0,0,1,2,3,visit
38,연산낙지해물탕,35.182316,129.10692,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819103408604_ttiel,1318
39,웰빙여행,35.181526,129.07504,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819170519954_ttiel,223
40,옻바다전복 삼계탕,35.18473,129.08128,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819105118416_ttiel,157
41,참참부자,35.185333,129.08035,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819105753999_ttiel,59
42,팔미초밥,35.184906,129.0818,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819110257649_ttiel,174
43,남촌,35.21074,129.00595,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819154352300_ttiel,172
44,북경의자전거,35.230934,129.00957,https://www.visitbusan.net/uploadImgs/files/cntnts/20200820091146813_ttiel,805
45,식당 3선(덕천점),35.21927,129.00708,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819154140644_ttiel,3088
46,함경면옥,35.21178,129.00423,https://www.visitbusan.net/uploadImgs/files/cntnts/20200820091029413_ttiel,757
47,디에이블 송도점,35.076706,129.01715,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819132345743_ttiel,1265
48,몽실종가돼지국밥,35.10016,129.01721,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819132813484_ttiel,2496
50,청죽,35.11293,129.01305,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819134238418_ttiel,150
51,편의방,35.11915,129.01625,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819134644126_ttiel,1019
52,동원장수촌,35.10194,128.97113,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819172146946_ttiel,1190
53,포항가자미물회,35.169525,128.98228,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819143114772_ttiel,363
54,괘법쭈꾸미,35.163906,128.98459,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819161305335_ttiel,1363
55,광명집,35.125664,129.10095,https://www.visitbusan.net/uploadImgs/files/cntnts/20210903144841845_ttiel,1691
56,명지첫집,35.095818,128.92444,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913092353076_ttiel,2226
57,드마히니 더블유스퀘어점,35.13426,129.11124,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913095514659_ttiel,0
58,명품외식 육면정,35.148415,129.09482,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913100010495_ttiel,1928
59,호포갈비 문현점,35.13401,129.06631,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913101952443_ttiel,2824
60,평산옥,35.114292,129.0371,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913104329974_ttiel,1266
61,공감식당,35.16551,129.03838,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913110103549_ttiel,279
62,다옴 (서면 삼정타워점),35.152874,129.05957,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913110833421_ttiel,1303
63,당감밀면,35.162247,129.03975,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913111405621_ttiel,777
64,더브릭하우스,35.15917,129.0585,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913111907192_ttiel,1549
65,버거샵,35.15856,129.06306,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913112340644_ttiel,2107
66,소수인,35.156704,129.05385,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913112639309_ttiel,752
67,양평칼국수,35.048454,128.967,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913114940489_ttiel,343
68,영진돼지국밥,35.09664,128.95784,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913131201409_ttiel,2742
69,신흥반점,35.09595,129.02463,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913133410983_ttiel,653
70,동원 숯불 갈비,35.188595,129.09715,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913141552746_ttiel,51
71,도날드 즉석 떡볶이,35.085815,129.04295,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913142012236_ttiel,2737
72,영도우,35.08781,129.06128,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913152113856_ttiel,933
73,함흥보쌈,35.08845,129.04108,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913152733413_ttiel,562
74,원산면옥,35.098976,129.03105,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913153317155_ttiel,1848
75,개미집신도시점,35.167637,129.17154,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913153737388_ttiel,1403
76,오리한상,35.097855,128.92471,https://www.visitbusan.net/uploadImgs/files/cntnts/20220510145207922_ttiel,2868
77,"오,유미당",35.241432,129.08784,https://www.visitbusan.net/uploadImgs/files/cntnts/20220510151352637_ttiel,1256
78,만포밀면,35.245934,129.21597,https://www.visitbusan.net/uploadImgs/files/cntnts/20220510161651267_ttiel,5
