,0,1,2,3
53,어린이대공원,35.184998,129.04153,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227180139517_thumbL
54,국립부산국악원,35.17132,129.05424,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227181259877_thumbL
55,삼광사,35.175694,129.04338,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227184611977_thumbL
56,청사포와 미포,35.1602,129.19138,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227190325222_thumbL
57,뮤지엄다,35.171303,129.12901,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227192655705_thumbL
58,부산시민공원,35.16841,129.05739,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227194942971_thumbL
59,"호천마을(한,영,중간,중번,일)",35.144295,129.05106,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227202219554_thumbL
60,"봉래산(한,영,중간,중번,일)",35.08219,129.05524,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227202829011_thumbL
61,영화의 거리,35.154633,129.14278,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227203859552_thumbL
62,APEC나루공원,35.170307,129.12564,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227204420832_thumbL
63,"40계단, 문화관",35.104343,129.03534,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229141716592_thumbL
64,감천문화마을,35.095787,129.00926,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229142305006_thumbL
65,다대포 해수욕장,35.04652,128.96283,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229143230630_thumbL
66,부산영화체험박물관/트릭아이뮤지엄부산,35.101692,129.0337,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229144834500_thumbL
67,용두산공원,35.100723,129.03264,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229145728609_thumbL
68,영도다리,35.095295,129.03656,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229150331682_thumbL
69,"중앙공원, 민주공원",35.112125,129.02792,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229150845004_thumbL
70,황령산 전망쉼터,35.158115,129.08269,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229151710512_thumbL
71,F1963,35.176933,129.11496,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229152254942_thumbL
72,해운대,35.158474,129.15987,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229153530528_thumbL
73,광안리 해수욕장,35.15318,129.11887,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229160529389_thumbL
74,금정산,35.280136,129.0512,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230180640227_thumbL
75,금강공원&식물원,35.22047,129.07494,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230181126685_thumbL
76,범어사,35.283646,129.06854,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230190101989_thumbL
77,동래읍성,35.20975,129.08997,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230194923757_thumbL
78,상해거리,35.113808,129.03786,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230203235198_thumbL
79,이중섭문화거리,35.14069,129.05289,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230205059771_thumbL
80,"복천박물관, 복천동고분군",35.208885,129.09116,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230205640434_thumbL
81,벡스코,35.169247,129.13628,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230210019945_thumbL
82,영화의 전당,35.171055,129.12703,https://www.visitbusan.net/uploadImgs/files/cntnts/20191230210358362_thumbL
83,"장안사(한,영,중간,중번,일)",35.374046,129.23288,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231091948765_thumbL
84,백양산,35.182827,129.02196,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231092729834_thumbL
85,성지곡수원지,35.187065,129.04105,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231100856743_thumbL
86,"장산(한,영,중간,중번,일)",35.193577,129.14497,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231101745599_thumbL
87,석불사,35.221504,129.04861,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231102223413_thumbL
88,"회동수원지(한,영,중간,중번,일)",35.259056,129.11096,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231105906594_thumbL
89,"동래향교, 기장향교",35.207752,129.0841,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231111302355_thumbL
90,가덕도 연대봉,35.026875,128.83395,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231180337567_thumbL
91,승학산 억새평원,35.116604,128.97968,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231181104098_thumbL
92,대룡마을,35.371174,129.26433,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231184354051_thumbL
93,대신공원,35.12181,129.01564,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231192024538_thumbL
94,화명수목원,35.25257,129.04205,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231192531286_thumbL
95,선암사,35.176968,129.02771,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231193124555_thumbL
96,운수사,35.18432,129.01346,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231193736138_thumbL
97,스포원파크,35.291504,129.10487,https://www.visitbusan.net/uploadImgs/files/cntnts/20191231201409836_thumbL
98,우암동 소막마을,35.1256,129.07018,https://www.visitbusan.net/uploadImgs/files/cntnts/20200101164518953_thumbL
99,"충렬사(한,영,중간,중번,일)",35.20119,129.09607,https://www.visitbusan.net/uploadImgs/files/cntnts/20200102125306322_thumbL
100,부산커피박물관,35.15433,129.06453,https://www.visitbusan.net/uploadImgs/files/cntnts/20200102141456051_thumbL
101,사상생활사박물관,35.172,128.97871,https://www.visitbusan.net/uploadImgs/files/cntnts/20200102142920888_thumbL
102,사직야구장,35.194107,129.06151,https://www.visitbusan.net/uploadImgs/files/cntnts/20200110144727057_thumbL
103,기장 도예 관광 힐링촌 테마숲(한),35.360134,129.23999,https://www.visitbusan.net/uploadImgs/files/cntnts/20200706141824447_thumbL
104,"송도용궁구름다리(한, 영, 중_간, 중_번)",35.06194,129.02191,https://www.visitbusan.net/uploadImgs/files/cntnts/20200717114921294_thumbL
105,"정승빈작가-우암동 소막마을(한,영,중간,중번,일)",35.126194,129.07597,https://www.visitbusan.net/uploadImgs/files/cntnts/20200722140028489_thumbL
106,"부산치유의 숲(한, 영)",35.26948,129.12955,https://www.visitbusan.net/uploadImgs/files/cntnts/20200729150013892_thumbL
107,"정승빈작가-아미동비석마을(한,영,중간,중번,일)",35.09903,129.0126,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818133843206_thumbL
108,"턴투워드부산(한,영,중간,중번,일)",35.127785,129.09766,https://www.visitbusan.net/uploadImgs/files/cntnts/20201106141515814_thumbL
109,"기장 달음산 자연휴양림(한,영,중간,중번,일)",35.30242,129.18535,https://www.visitbusan.net/uploadImgs/files/cntnts/20201201103753100_thumbL
110,"부산도서관(한,영,중간,중번,일)",35.172737,128.98526,https://www.visitbusan.net/uploadImgs/files/cntnts/20201216170753435_thumbL
111,"해운대수목원 (한,영,일,중간,중번)",35.22992,129.1327,https://www.visitbusan.net/uploadImgs/files/cntnts/20210929134725627_thumbL
112,"캐니베 드 쁘아송(한,영,중간,중번,일)",35.20021,129.22897,https://www.visitbusan.net/uploadImgs/files/cntnts/20211112113445840_thumbL
113,"영도 봉산마을(한, 영, 일)",35.09309,129.05125,https://www.visitbusan.net/uploadImgs/files/cntnts/20211116151308755_thumbL
